Schedule,Inference Ratio
Schedule 1,0.1
Schedule 2,0.2
Schedule 3,0.2
Schedule 4,0.0
Schedule 5,0.0
Schedule 6,0.2
Schedule 7,0.1
Schedule 8,0.0
Schedule 9,0.2
Schedule 10,0.0
Schedule 11,0.3
Schedule 12,0.1
Schedule 13,0.0
Schedule 14,0.0
Schedule 15,0.2
Schedule 16,0.2
