Utilization,TaskCount,IR
0.027418723,5,
0.030990792,5,
0.040223297,5,
0.041915371,5,
0.042212536,5,
0.04358309,5,
0.046075474,5,
0.058416801,5,
0.060835679,5,
0.065725777,5,
0.068923991,5,
0.072609765,5,
0.076377588,5,
0.077288595,5,
0.088611184,5,
0.091534265,5,
0.107920197,5,
0.114504444,5,
0.115344372,5,
0.128794897,5,
0.130251632,5,
0.140164892,5,
0.150899512,5,
0.152912291,5,
0.15687219,5,
0.157179153,5,
0.157449553,5,
0.163909173,5,
0.065025384,5,
0.135813982,5,
0.096524871,5,
0.069528779,5,
0.037844419,5,
0.10634385,5,
0.147283637,5,
0.117683529,5,
0.025635833,5,
0.040675335,5,
0.085321639,5,
0.081069745,5,
0.17876265,5,
0.060036837,5,
0.178426811,5,
0.039573765,5,
0.16367619,5,
0.091774151,5,
0.101778944,5,
0.101971518,5,
0.171114694,5,
0.094469086,5,
0.125069655,5,
0.077047844,5,
0.171863177,5,
0.091503728,5,
0.020734186,5,
0.132733418,5,
0.140045354,5,
0.116011662,5,
0.091823028,5,
0.059548641,5,
0.036967556,5,
0.068527302,5,
0.153002413,5,
0.042933896,5,
0.061331296,5,
0.124371812,5,
0.168403124,5,
0.085730933,5,
0.077896946,5,
0.15328805,5,
0.086613817,5,
0.129050334,5,
0.094716375,5,
0.042653133,5,
0.086885052,5,
0.031324478,5,
0.166068573,5,
0.042711861,5,
0.128682869,5,
0.17558241,5,
0.023264149,5,
0.049603791,5,
0.051224212,5,
0.06174227,5,
0.0667316,5,
0.080343734,5,
0.088096243,5,
0.088536443,5,
0.094402267,5,
0.097859479,5,
0.133676207,5,
0.145335539,5,
0.150823843,5,
0.152462842,5,
0.154810264,5,
0.155180248,5,
0.161052781,5,
0.163117073,5,
0.163953411,5,
0.167778939,5,
0.225621982,5,
0.232031195,5,
0.241717572,5,
0.251156187,5,
0.254842926,5,
0.259538638,5,
0.265726996,5,
0.267136878,5,
0.285309964,5,
0.287203579,5,
0.297687202,5,
0.299551237,5,
0.301725,5,
0.314359544,5,
0.315728212,5,
0.329903626,5,
0.336607953,5,
0.361786668,5,
0.362770175,5,
0.366634044,5,
0.368462548,5,
0.372908452,5,
0.374737238,5,
0.37926464,5,
0.343991943,5,
0.30022396,5,
0.268461788,5,
0.359916036,5,
0.267461767,5,
0.25805461,5,
0.246277864,5,
0.263281249,5,
0.322240112,5,
0.262610894,5,
